Administrative Unit,Background Characteristic,Units,2019
Nyamira,Total Households,Number,150669
Nyamira,Conventional,Number,150499
Nyamira,Group Quarters,Number,170
Nyamira,Land Area,sq. km,897
Nyamira,Density,persons per sq. km,675
Nairobi City,Total Population,Number,4397073
Nairobi City,Male,Number,2192452
Nairobi City,Female,Number,2204376
Nairobi City,Intersex,Number,245
Nairobi City,Total Households,Number,1506888
Nairobi City,Conventional,Number,1494676
Nairobi City,Group Quarters,Number,12212
Nairobi City,Land Area,sq. km,704
Nairobi City,Density,persons per sq. km,6247
